Failed frames: 234 / 368
Parameters: K=0.1, exposure=0.03
 Frame   Lap_before    Lap_after     Change     PSNR    SSIM
------------------------------------------------------------
     0       361.31       299.87     -61.44    22.64  0.9908
     1       364.56       302.50     -62.06    22.65  0.9909
     2       361.71       300.16     -61.55    22.64  0.9908
     3       363.06       301.28     -61.78    22.65  0.9909
     4       361.24       299.71     -61.53    22.64  0.9908
     5       364.69       302.66     -62.03    22.65  0.9909
     6       362.18       300.47     -61.71    22.65  0.9909
     7       361.95       300.32     -61.62    22.64  0.9908
     8       366.45       304.09     -62.36    22.65  0.9909
     9       364.95       302.95     -62.00    22.64  0.9908
    10       363.28       301.43     -61.85    22.64  0.9908
    11       363.16       301.44     -61.72    22.65  0.9909
    12       363.50       301.80     -61.70    22.65  0.9909
    13       365.20       303.07     -62.13    22.65  0.9909
    14       364.62       302.55     -62.07    22.65  0.9909
    15       364.17       302.30     -61.87    22.64  0.9908
    16       364.78       302.63     -62.14    22.64  0.9908
    17       357.26       230.16    -127.10    17.47  0.7906
    18       105.56        68.05     -37.51    17.51  0.7855
    19        83.60        69.87     -13.73    17.14  0.7568
    20        78.28        59.37     -18.91    17.13  0.7537
    21        66.91        42.26     -24.64    16.88  0.7304
    22        66.78        43.90     -22.88    17.51  0.7763
    23        58.36        40.59     -17.77    18.39  0.8303
    24        53.73        44.79      -8.95    17.66  0.7821
    25        48.02        32.30     -15.72    18.49  0.8320
    27        46.44        40.22      -6.22    17.99  0.7948
    28        47.02        37.60      -9.42    18.06  0.7982
    30        44.27        33.74     -10.53    18.41  0.8149
    31        42.06        22.03     -20.04    18.99  0.8445
    34        39.97        37.67      -2.30    19.57  0.8661
    35        44.11        32.74     -11.36    20.03  0.8904
    36        45.57        35.51     -10.06    19.24  0.8426
    37        44.73        33.34     -11.40    19.50  0.8568
    38        46.46        24.21     -22.25    18.95  0.8199
    39        44.52        31.93     -12.59    19.17  0.8339
    40        46.75        31.92     -14.83    19.08  0.8328
    41        47.72        23.51     -24.20    18.81  0.8137
    42        48.52        33.00     -15.51    18.93  0.8263
