step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
0,0,0.000,-0.000,3,196.8,194.4,45.5,45.0
1,1,0.000,-0.000,3,196.8,194.4,45.5,45.0
2,3,0.000,-0.000,3,196.8,194.4,45.5,45.0
3,4,0.000,-0.000,3,196.8,194.4,45.5,45.0
4,5,0.000,-0.000,3,196.8,194.4,45.5,45.0
5,6,0.000,0.000,3,196.8,194.4,45.5,45.0
6,9,0.000,0.000,3,196.8,194.4,45.5,45.0
7,10,0.000,0.000,3,196.8,194.4,45.5,45.0
8,12,-0.000,0.000,3,196.8,194.4,45.5,45.0
9,14,0.000,-0.000,3,196.8,194.4,45.5,45.0
10,16,-0.000,0.000,3,196.8,194.3,45.5,45.0
11,18,0.000,0.000,3,196.8,194.3,45.5,45.0
12,20,-0.000,0.000,3,196.7,194.3,45.5,45.0
13,22,-0.000,-0.000,3,196.7,194.3,45.5,45.0
14,25,0.000,0.000,3,196.7,194.3,45.5,45.0
15,26,-0.000,0.000,3,196.7,194.3,45.5,45.0
16,28,-0.004,-0.005,3,196.7,194.3,45.5,45.0
17,30,0.117,-2.680,5,196.7,194.1,45.5,46.3
18,32,0.428,-6.494,13,197.2,194.3,44.4,46.3
19,33,-0.022,-7.878,15,197.7,194.8,44.0,45.8
20,35,-0.087,-9.159,19,198.1,195.0,43.8,46.0
21,37,-1.041,-10.234,21,199.0,195.8,43.3,46.0
22,38,-0.947,-10.577,21,199.5,196.2,43.2,45.5
23,40,-1.077,-10.379,21,200.4,197.4,42.9,45.1
24,41,-1.923,-10.907,21,200.9,197.8,42.6,44.9
25,44,-1.580,-11.389,23,201.4,198.3,42.2,44.6
26,46,-1.963,-12.384,25,201.5,198.4,41.7,44.2
27,48,-2.160,-13.050,27,201.5,198.3,41.5,44.2
28,49,-1.868,-13.412,27,201.5,198.3,41.4,44.3
29,51,-1.807,-14.347,29,201.6,198.4,40.9,44.0
30,52,-1.824,-14.125,29,201.8,198.6,40.6,43.5
31,54,-1.674,-14.723,29,202.3,199.1,39.8,42.4
32,55,-1.315,-15.397,31,202.6,199.5,39.2,41.7
33,56,-0.916,-16.030,33,202.9,199.6,38.7,41.1
34,59,0.722,-16.829,33,203.5,200.3,37.7,40.4
35,60,1.889,-17.830,35,204.0,200.7,37.3,40.3
36,62,2.554,-17.999,35,204.9,201.5,37.0,39.6
37,64,3.967,-18.184,37,206.4,202.9,36.4,39.4
38,66,5.751,-18.308,37,205.0,201.3,36.7,39.7
39,67,8.053,-17.906,35,205.7,201.9,36.4,39.7
40,68,9.391,-18.185,37,203.3,199.2,37.3,40.6
41,70,12.175,-17.570,35,203.8,199.6,37.2,41.1
42,72,12.970,-16.696,33,201.3,197.0,38.0,41.9
43,73,13.998,-16.923,33,201.7,197.3,37.8,42.0
44,74,14.174,-16.293,33,201.8,197.5,37.7,42.2
45,76,15.018,-16.211,33,198.5,194.2,38.9,43.4
46,78,15.436,-16.050,33,198.7,194.2,39.2,44.2
47,79,15.242,-15.561,31,195.2,190.9,40.5,45.3
48,82,10.678,-9.683,21,195.1,191.4,41.2,44.0
49,83,8.486,-7.688,17,195.0,191.4,41.4,43.7
50,84,4.679,-4.080,9,194.9,191.8,41.6,42.5
51,86,2.276,-1.878,5,194.7,192.0,41.8,42.1
52,88,0.507,-0.441,3,194.6,192.3,41.9,41.4
53,89,0.274,-0.227,3,194.7,192.3,41.9,41.4
54,91,-0.543,0.136,3,194.7,192.2,41.9,41.5
55,92,-1.258,0.213,3,194.7,192.2,41.9,41.7
56,93,-2.752,0.318,5,194.7,192.2,41.9,42.1
57,95,-3.582,-0.595,7,195.1,192.5,42.0,42.6
58,96,-4.472,-0.091,9,195.2,192.5,42.2,42.9
59,98,-5.954,1.379,11,195.4,192.5,42.4,43.3
60,100,-8.649,4.113,17,191.8,188.6,44.0,45.7
61,101,-10.536,5.226,21,192.0,188.5,44.1,46.3
62,103,-14.241,9.738,29,192.4,188.2,44.4,47.7
63,105,-14.933,11.142,29,192.8,188.6,44.4,48.0
64,107,-15.655,13.073,31,189.7,185.5,45.1,48.9
65,108,-16.176,13.774,33,189.7,185.3,44.8,48.9
66,111,-11.545,8.955,23,189.9,186.2,44.0,46.9
67,112,-5.977,5.008,11,189.9,186.8,43.8,44.9
68,113,-4.528,3.488,9,189.5,186.6,43.8,44.6
69,116,-1.159,0.798,3,189.3,186.9,43.7,43.8
70,117,-2.883,1.959,5,189.1,186.6,43.7,44.1
71,119,-9.373,5.748,19,189.4,185.8,43.7,45.9
72,120,-9.642,5.852,19,189.7,186.2,43.7,45.9
73,121,-7.919,4.891,15,189.1,185.9,43.9,45.4
74,124,-3.284,1.618,7,188.9,186.2,44.1,44.6
75,125,-2.476,1.271,5,188.6,186.1,44.2,44.4
76,126,-2.207,0.025,5,188.1,185.6,44.5,44.6
77,129,-3.789,-1.631,7,188.6,186.1,44.6,45.1
78,130,-4.424,-2.211,9,188.6,185.9,44.8,46.0
79,132,-5.169,-3.123,11,189.4,186.4,45.5,46.8
80,135,-6.037,-4.493,13,189.5,186.6,46.8,48.1
81,136,-5.812,-5.567,11,189.8,187.0,47.7,49.0
82,137,-5.854,-5.419,11,189.9,186.9,48.6,49.9
83,139,-5.742,-6.851,13,185.4,182.8,51.8,52.9
84,142,-4.522,-6.476,13,183.9,181.4,54.3,55.2
85,143,-3.933,-5.462,11,182.4,179.9,55.7,56.4
86,146,-0.939,-1.916,3,179.6,177.3,58.0,57.5
87,147,-0.619,-1.284,3,175.0,172.8,59.1,58.8
88,148,-0.322,-0.387,3,174.5,172.3,59.4,58.8
89,150,-0.142,-0.104,3,174.2,172.1,59.6,58.9
