step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
0,0,0.000,-0.000,3,196.8,194.4,45.5,45.0
1,1,0.000,-0.000,3,196.8,194.4,45.5,45.0
2,3,0.000,-0.000,3,196.8,194.4,45.5,45.0
3,4,0.000,-0.000,3,196.8,194.4,45.5,45.0
4,5,0.000,-0.000,3,196.8,194.4,45.5,45.0
5,6,-0.000,-0.000,3,196.8,194.4,45.5,45.0
6,9,-0.000,-0.000,3,196.8,194.4,45.5,45.0
7,10,-0.000,-0.000,3,196.8,194.4,45.5,45.0
8,12,-0.000,-0.000,3,196.8,194.4,45.5,45.0
9,14,0.000,0.000,3,196.8,194.4,45.5,45.0
10,16,-0.000,-0.000,3,196.8,194.3,45.5,45.0
11,18,0.000,0.000,3,196.8,194.3,45.5,45.0
12,20,-0.000,-0.000,3,196.7,194.3,45.5,45.0
13,22,0.000,-0.000,3,196.7,194.3,45.5,45.0
14,25,0.000,0.000,3,196.7,194.3,45.5,45.0
15,26,-0.000,-0.000,3,196.7,194.3,45.5,45.0
16,28,0.003,-0.000,3,196.7,194.3,45.5,45.0
17,30,3.634,0.640,7,196.7,193.4,45.5,47.1
18,32,9.131,1.545,19,197.2,193.5,44.4,47.8
19,33,10.403,1.471,21,197.7,193.8,44.0,47.4
20,35,10.922,0.715,21,198.1,194.2,43.8,47.0
21,37,10.248,0.069,21,199.0,195.4,43.3,45.9
22,38,10.020,0.111,21,199.5,195.9,43.2,45.7
23,40,9.262,-0.380,19,200.4,197.0,42.9,44.8
24,41,8.482,-0.599,17,200.9,197.5,42.6,44.1
25,44,8.028,-1.446,17,201.4,198.2,42.2,43.9
26,46,7.601,-1.710,15,201.5,198.2,41.7,42.9
27,48,7.390,-2.192,15,201.5,198.3,41.5,42.8
28,49,6.895,-2.401,13,201.5,198.3,41.4,42.3
29,51,6.651,-2.281,13,201.6,198.4,40.9,41.8
30,52,6.218,-3.145,13,201.8,198.6,40.6,41.6
31,54,6.031,-3.505,13,202.3,199.2,39.8,41.0
32,55,5.963,-2.954,11,202.6,199.5,39.2,39.8
33,56,6.051,-3.211,13,202.9,199.9,38.7,39.8
34,59,6.856,-3.983,13,203.5,200.3,37.7,38.7
35,60,7.322,-4.117,15,204.0,200.8,37.3,38.6
36,62,7.584,-4.623,15,204.9,201.6,37.0,38.3
37,64,7.723,-4.926,15,206.4,203.0,36.4,37.7
38,66,8.062,-5.467,17,205.0,201.7,36.7,38.6
39,67,9.192,-5.897,19,205.7,202.1,36.4,38.5
40,68,9.954,-5.716,19,203.3,199.7,37.3,39.4
41,70,11.352,-5.781,23,203.8,200.0,37.2,39.8
42,72,11.606,-5.810,23,201.3,197.5,38.0,40.7
43,73,12.406,-6.146,25,201.7,197.7,37.8,40.8
44,74,11.944,-5.889,23,201.8,198.0,37.7,40.5
45,76,12.234,-5.624,25,198.5,194.7,38.9,41.9
46,78,11.985,-5.640,23,198.7,195.1,39.2,42.2
47,79,11.507,-5.844,23,195.2,191.5,40.5,43.2
48,82,8.027,-4.125,17,195.1,191.8,41.2,43.0
49,83,6.326,-3.186,13,195.0,191.8,41.4,42.8
50,84,3.529,-2.036,7,194.9,192.0,41.6,41.8
51,86,1.840,-1.024,3,194.7,192.2,41.8,41.5
52,88,0.393,-0.182,3,194.6,192.3,41.9,41.4
53,89,0.247,-0.121,3,194.7,192.3,41.9,41.4
54,91,0.499,1.695,3,194.7,192.2,41.9,41.6
55,92,0.601,3.153,7,194.7,192.0,41.9,42.2
56,93,0.958,6.006,13,194.7,191.8,41.9,42.9
57,95,1.545,9.977,19,195.1,191.8,42.0,43.3
58,96,1.493,10.761,21,195.2,191.9,42.2,43.8
59,98,0.406,12.117,25,195.4,192.0,42.4,44.4
60,100,-1.276,12.436,25,191.8,188.5,44.0,45.8
61,101,-3.385,13.207,27,192.0,188.6,44.1,46.3
62,103,-7.322,11.892,23,192.4,188.6,44.4,46.7
63,105,-9.217,10.277,21,192.8,189.0,44.4,47.0
64,107,-10.828,8.890,21,189.7,186.1,45.1,47.6
65,108,-11.952,7.565,23,189.7,186.1,44.8,47.3
66,111,-9.132,5.552,19,189.9,186.4,44.0,45.8
67,112,-4.777,2.875,9,189.9,187.1,43.8,44.5
68,113,-3.770,1.929,7,189.5,186.9,43.8,44.5
69,116,-0.865,0.485,3,189.3,186.8,43.7,43.3
70,117,-2.111,1.017,5,189.1,186.5,43.7,43.8
71,119,-7.090,3.773,15,189.4,186.0,43.7,45.4
72,120,-7.204,3.754,15,189.7,186.4,43.7,45.3
73,121,-6.316,3.417,13,189.1,186.0,43.9,44.9
74,124,-2.388,1.741,5,188.9,186.3,44.1,44.5
75,125,-1.458,1.821,3,188.6,186.2,44.2,44.1
76,126,-0.465,2.915,5,188.1,185.6,44.5,44.3
77,129,0.056,7.039,15,188.6,185.7,44.6,45.4
78,130,0.779,9.353,19,188.6,185.6,44.8,46.1
79,132,0.552,11.167,23,189.4,186.4,45.5,47.0
80,135,0.663,12.026,25,189.5,186.4,46.8,48.4
81,136,0.317,12.032,25,189.8,186.6,47.7,49.0
82,137,0.909,11.629,23,189.9,186.8,48.6,50.1
83,139,0.156,11.602,23,185.4,182.3,51.8,52.8
84,142,0.436,8.988,17,183.9,181.0,54.3,54.7
85,143,0.100,7.548,15,182.4,179.6,55.7,55.9
86,146,-0.084,2.170,5,179.6,177.2,58.0,57.6
87,147,0.117,1.525,3,175.0,172.7,59.1,58.6
88,148,-0.053,0.702,3,174.5,172.3,59.4,58.9
89,150,0.028,0.161,3,174.2,172.1,59.6,58.9
90,151,-0.007,0.082,3,173.9,171.7,59.6,59.0
91,152,0.007,0.028,3,174.0,171.8,59.6,59.0
